,source_language,split,target_language
5666,i 'm all packed and ready to go .,val,mes affaires sont prêtes et je suis prête à partir .
5667,i 'm on holiday .,val,je suis en vacances .
5668,i 'm sure tom was involved .,val,je suis sûre que tom était impliqué .
5669,i 'm a teacher .,val,je suis enseignante .
5670,i 'm not as stupid as you think i am .,val,je ne suis pas aussi bête que tu le penses .
5671,i 'm really proud of you .,val,je suis réellement fière de vous .
5672,i 'm not above begging in order to get the job .,val,j'irais jusqu'à mendier afin d'obtenir ce poste .
5673,i 'm no fool .,val,je ne suis pas une idiote .
5674,i 'm a bit nervous right now .,val,je suis un peu nerveux en ce moment .
5675,i 'm not outgoing .,val,je ne suis pas extravertie .
5676,i 'm wasted .,val,je suis affaiblie .
5677,i 'm desperate .,val,je suis désespérée .
5678,i 'm impulsive .,val,je suis impulsive .
5679,i 'm impressed .,val,je suis impressionnée .
5680,i 'm not a saint .,val,je ne suis pas un saint .
5681,i 'm thinking of the plan .,val,je songe au projet .
5682,i 'm dancing .,val,je suis en train de danser .
5683,i 'm running linux on my laptop .,val,mon ordinateur portable tourne sous linux .
5684,i 'm running out of closet space .,val,je manque d'espace dans ma penderie .
5685,i 'm always happy .,val,je suis toujours heureuse .
5686,i 'm undressing .,val,je me dévêts .
5687,i 'm sloshed .,val,je suis bourrée .
5688,i 'm fine . how about you ?,val,"je vais bien , et toi ?"
5689,i 'm not disputing that .,val,je ne conteste pas cela .
5690,i 'm not done .,val,je n'ai pas terminé .
5691,i 'm normal .,val,je suis normal .
5692,"i 'm sorry , i forgot to do my homework .",val,"je suis désolé , j'ai oublié de faire mes devoirs ."
5693,i 'm not selling anything .,val,je ne vends rien du tout .
5694,i 'm as old as you .,val,je suis aussi âgée que vous .
5695,"i 'm so embarrassed , i want to die .",val,je suis tellement gêné que je veux mourir .
5696,i 'm not flexible enough to sit in the lotus position .,val,je ne suis pas assez souple pour m'asseoir dans la position du lotus .
5697,i 'm breast-feeding my baby .,val,je donne le sein à mon bébé .
5698,i 'm proud of my brother .,val,je suis fier de mon frère .
5699,i 'm now busy writing a book .,val,je suis occupé en ce moment à écrire un livre .
5700,i 'm celebrating .,val,j'arrose ça .
5701,i 'm having fun .,val,je m'amuse .
5702,i 'm hit !,val,je suis touché !
5703,i 'm amazed by the rate at which industries grow .,val,je suis ébahi par le rythme auquel les industries se développent .
5704,i 'm working for a trading firm .,val,je travaille pour une entreprise de commerce .
5705,i 'm not the one who should go .,val,je ne suis pas celle qui devrait y aller .
5706,i 'm glad you did n't do it .,val,je suis heureux que vous le n'ayez pas fait .
5707,i 'm not buying it .,val,je ne gobe pas ça .
5708,i 'm sure you 're very busy .,val,je suis sûr que tu es très occupée .
5709,i 'm not sure what i was thinking .,val,je ne suis pas certaine de ce que je pensais .
5710,i 'm confused enough as it is .,val,je suis assez embrouillé comme ça .
5711,i 'm sure tom was involved .,val,je suis sûr que tom a été impliqué .
5712,i 'm ashamed to say that it 's true .,val,j'ai honte de dire que c'est vrai .
5713,i 'm a big fan of golf .,val,j'adore le golf .
5714,i 'm sure things will work out .,val,je suis sûre que les choses vont se résoudre .
5715,i 'm tired of everything .,val,je suis fatiguée de tout .
5716,i 'm out of shape .,val,je ne suis pas en forme .
5717,i 'm delighted to be here .,val,je suis enchantée d'être ici .
5718,i 'm not your son .,val,je ne suis pas ton fils .
5719,i 'm on my way to visit a friend who 's in the hospital .,val,je suis en route pour rendre visite à une amie qui est à l'hôpital .
5720,i 'm retired .,val,je suis pensionnée .
5721,i 'm not trying to impress anyone .,val,je n'essaie pas d'impressionner qui que ce soit .
5722,i 'm really busy .,val,je suis vraiment occupé .
5723,i 'm getting off at the next stop .,val,je descends au prochain arrêt .
5724,i 'm thinking about you .,val,je pense à vous .
5725,i 'm beginning to get curious .,val,je commence à devenir curieux .
5726,i 'm very busy so do n't count on me .,val,"je suis très occupée , alors ne comptez pas sur moi ."
5727,i 'm not on duty today .,val,je ne suis pas en service aujourd'hui .
5728,i 'm sick of listening to your complaints .,val,je suis fatigué d'écouter tes plaintes .
5729,i 'm not going to let you boss me around .,val,je ne vais te laisser me commander .
5730,i 'm the one who built this .,val,je suis celle qui a construit ceci .
5731,i 'm surprised to see you here .,val,je suis surpris de vous voir ici .
5732,i 'm not easily offended .,val,je ne suis pas facilement offensée .
5733,i 'm not a scientist .,val,je ne suis pas scientifique .
5734,i 'm no expert .,val,je ne suis pas un expert .
5735,i 'm going .,val,je pars maintenant .
5736,i 'm happy to see you in one piece .,val,heureux de vous voir en un seul morceau !
5737,i 'm sure .,val,j'en suis sûr .
5738,i 'm glad to be the one who tells you .,val,je me réjouis d'être celle qui vous le dit .
5739,i 'm full .,val,je suis rassasié !
5740,i 'm not done yet .,val,je n'en ai pas encore terminé .
5741,i 'm disgusted .,val,je suis dégoûtée .
5742,i 'm not happy with this .,val,j'en suis mécontent .
5743,i 'm getting tired of this .,val,ça me pompe .
5744,i 'm very pleased with your work .,val,je suis ravi de votre travail .
5745,i 'm wondering if i love him .,val,je me demande si je l'aime .
5746,i 'm drowning .,val,je suis en train de me noyer .
5747,i 'm not really that thirsty .,val,je n'ai pas si soif que ça .
5748,i 'm kidding .,val,je plaisante .
5749,i 'm not an alcoholic .,val,je ne suis pas alcoolique .
5750,i 'm sure you must have a lot of questions .,val,je suis sûre que vous devez avoir beaucoup de questions .
5751,i 'm happy enough .,val,je suis assez content .
5752,i 'm going to tell you the truth .,val,je vais te dire la vérité .
5753,i 'm going to go now .,val,je vais maintenant y aller .
5754,i 'm surprised no one else heard the gunshots .,val,je suis surprise que personne d'autre n'ait entendu les coups de feu .
5755,i 'm sorry to hear that your father passed away .,val,je suis désolé d'apprendre que ton père est décédé .
5756,i 'm sure my parents wo n't let me go by myself .,val,je suis certain que mes parents ne me laisseront pas aller seul .
5757,i 'm not busy today .,val,je ne suis pas occupé aujourd'hui .
5758,i 'm surprised you did n't know that .,val,je suis surpris que tu ignorais cela .
5759,i 'm sure tom ca n't swim .,val,je suis sûr que tom ne sait pas nager .
5760,i 'm beginning to get curious .,val,ma curiosité commence à s'aiguiser .
5761,i 'm being paid to do this .,val,je suis payé pour faire ça .
5762,i 'm not sure why .,val,je ne suis pas sûr de la raison .
5763,"i 'm sorry , my mother 's not at home .",val,"je suis désolé , ma mère n'est pas à la maison ."
5764,i 'm not disagreeing .,val,je l'accorde .
5765,i 'm glad you decided to come .,val,je me réjouis que vous vous soyez décidées à venir .
5766,i 'm lucky to have you as a friend .,val,je suis chanceux de vous avoir pour amie .
5767,"i 'm sorry , i do n't buzz in people i do n't know .",val,"je suis désolé , je n'admets pas les gens que je ne connais pas ."
5768,i 'm fairly happy .,val,je suis plutôt content .
5769,i 'm addicted .,val,je suis accro .
5770,i 'm free every day but monday .,val,je suis libre tous les jours sauf le lundi .
5771,i 'm afraid of the dark .,val,j'ai peur du noir .
5772,i 'm wealthy .,val,je suis fortunée .
5773,i 'm not the only one who feels that way .,val,je ne suis pas le seul à ressentir cela .
5774,i 'm sure i 'll win the tennis match .,val,je suis sûre de remporter le match de tennis .
5775,i 'm not at all surprised .,val,je ne suis pas du tout surprise .
5776,i 'm at the restaurant .,val,je suis au restaurant .
5777,i 'm the same height as he is .,val,je suis de la même taille que lui .
5778,i 'm asking you as a friend .,val,je vous le demande en tant qu'ami .
5779,i 'm available .,val,je suis disponible .
5780,i 'm a lonely man .,val,je suis un homme solitaire .
5781,i 'm glad you liked it .,val,je suis heureuse que tu l'aies apprécié .
5782,i 'm afraid i 'm a bit out of shape .,val,je crains d'être un peu défait .
5783,i 'm in danger .,val,je suis en danger .
5784,i 'm not proud of it .,val,je n'en suis pas fier .
5785,"i 'm going to go buy a ticket , so please watch my bags for a minute .",val,"je vais aller acheter un ticket , alors surveillez mes sacs une minute , s'il vous plaît ."
5786,i 'm glad to hear that .,val,je suis heureux d'entendre cela .
5787,i 'm not sure anymore .,val,je n'en suis plus sûr .
5788,i 'm used to it .,val,j'y suis accoutumé .
5789,i 'm correct .,val,j'ai raison .
5790,i 'm unmarried .,val,je suis célibataire .
5791,i 'm using that cup .,val,j'utilise cette tasse .
5792,i 'm not really hungry .,val,je n'ai pas vraiment faim .
5793,i 'm prepared .,val,je suis préparée .
5794,i 'm dreading the exam .,val,je redoute l'examen .
5795,i 'm in luck .,val,je suis veinard .
5796,i 'm only going to say this once .,val,je ne vais le dire qu'une seule fois .
5797,i 'm afraid tom will get lost .,val,je crains que tom ne se perde .
5798,i 'm going to be a teacher .,val,je vais être enseignant .
5799,i 'm not one of them .,val,je ne fais pas partie du sérail .
5800,i 'm trying to figure out what you do for fun .,val,j'essaie de m'imaginer ce que vous faites pour vous amuser .
5801,i 'm curious .,val,je suis curieuse .
5802,i 'm not crazy . you 're the one who 's crazy .,val,je ne suis pas fou . tu es celui qui est fou .
5803,i 'm not sure i want to do this now .,val,je ne suis pas certaine que je veuille faire ça maintenant .
5804,i 'm not going to do that unless you help me .,val,"je ne vais pas le faire , à moins que vous m'aidiez ."
5805,i 'm pleased to see you .,val,je suis ravi de te voir .
5806,i 'm tired of boston .,val,je suis fatigué de boston .
5807,i 'm not an only child .,val,je ne suis pas une enfant unique .
5808,i 'm sorry if i disturbed you .,val,je suis désolée si je vous ai dérangé .
5809,i 'm really busy right now .,val,"je suis vraiment occupé , à l'instant ."
5810,i 'm not offended .,val,je ne me sens pas offensé .
5811,i 'm friends with him .,val,je suis ami avec lui .
5812,i 'm just looking forward to going home .,val,je suis juste impatient de rentrer à la maison .
5813,i 'm contented .,val,me voilà satisfait .
5814,i 'm sorry to have bothered you .,val,je suis désolé de t'avoir dérangé !
5815,i 'm not your maid .,val,je ne suis pas votre servante .
5816,i 'm as hungry as a bear .,val,j'ai une faim de loup .
5817,"i 'm busy , too .",val,je suis également affairée .
5818,i 'm very sleepy .,val,j'ai très sommeil .
5819,i 'm not signing anything .,val,je ne signe rien du tout .
5820,i 'm reluctant to visit him .,val,je rechigne à lui rendre visite .
5821,i 'm on duty .,val,je suis en service .
5822,i 'm not skinny .,val,je ne suis pas maigrichonne .
5823,i 'm visiting my grandmother in the hospital .,val,je viens juste rendre visite à ma grand-mère à l'hôpital .
5824,i 'm bad at swimming .,val,je ne sais pas bien nager .
5825,i 'm happy to see you in one piece .,val,heureuse de vous voir en un seul morceau !
5826,i 'm fond of taking pictures .,val,j'adore prendre des photos .
5827,i 'm waiting for him to get back .,val,j'attends qu'il revienne .
5828,i 'm done with you .,val,moi j'en ai fini avec toi .
5829,i 'm not embarrassed .,val,je ne suis pas embarrassée .
5830,i 'm a married woman now .,val,je suis une femme mariée désormais .
5831,i 'm just an average girl .,val,je suis juste une fille normale .
5832,i 'm going to miss you a lot .,val,tu vas beaucoup me manquer .
5833,i 'm not saying anything .,val,je ne dis rien .
5834,i 'm satisfied .,val,je suis satisfait .
5835,i 'm sorry to upset your plans .,val,je suis désolé de décevoir vos plans .
5836,i 'm too tired to do anything right now .,val,je suis trop fatigué pour faire quoi que ce soit à l'instant .
5837,i 'm stuck in my job .,val,je suis coincé dans mon boulot .
5838,i 'm sorry to have kept you waiting .,val,je suis désolé de vous avoir fait attendre .
5839,i 'm economically independent of my parents .,val,je suis financièrement indépendant de mes parents .
5840,i 'm going to rewrite this report .,val,je vais réécrire ce rapport .
5841,"i 'm sorry , but i already have a girlfriend .",val,"je suis désolé , mais j'ai déjà une petite amie ."
5842,i 'm getting ready for the worst .,val,je me prépare au pire ...
5843,i 'm late .,val,je suis en retard .
5844,i 'm spontaneous .,val,je suis spontanée .
5845,i 'm getting married in october .,val,je vais me marier en octobre .
5846,i 'm asking you to do this because i trust you .,val,je te demande de le faire parce que j'ai confiance en toi .
5847,i 'm not old .,val,je ne suis pas vieille .
5848,i 'm feeling fit .,val,je me sens en forme .
5849,i 'm very sad to hear that .,val,je suis très triste d'entendre cela .
5850,i 'm going to hanover with you .,val,je vais à hanovre avec toi .
5851,i 'm experiencing some heartburn .,val,je ressens des brûlures d'estomac .
5852,i 'm thinking of learning korean next semester .,val,je pense apprendre le coréen le semestre prochain .
5853,i 'm just looking around .,val,je ne fais que regarder .
5854,i 'm afraid it 's not that simple .,val,je crains que ce ne soit pas si simple .
5855,i 'm not done .,val,je n'ai pas fini .
5856,i 'm nervous and excited .,val,je suis nerveuse et excitée .
5857,i 'm going to go to the kitchen to grab something to eat .,val,je vais aller à la cuisine pour glaner quelque chose à manger .
5858,i 'm sorry if i embarrassed you .,val,je suis désolée si je vous ai embarrassés .
5859,i 'm often only half awake .,val,je ne suis souvent qu'à moitié réveillée .
5860,i 'm just going to go powder my nose .,val,je vais juste aller me poudrer le nez .
5861,i 'm afraid i ca n't finish them in time .,val,j'ai peur de ne pas avoir le temps de les finir .
5862,i 'm pleased with his performance .,val,je suis satisfait de sa représentation .
5863,i 'm not available .,val,je suis indisponible .
5864,i 'm sorry i 'm calling you at work .,val,je suis désolé de t'appeler au travail .
5865,i 'm proud of my children .,val,je suis fier de mes enfants .
5866,i 'm faster .,val,je suis plus rapide .
5867,i 'm a very lucky man .,val,je suis un homme très chanceux .
5868,i 'm sorry i did n't reply to you sooner .,val,je suis désolé de ne pas t'avoir répondu plus tôt .
5869,i 'm getting a new house built .,val,je me fais construire une nouvelle maison .
5870,i 'm a french citizen .,val,je suis un citoyen français .
5871,i 'm not blaming you .,val,je ne vous blâme pas .
5872,i 'm not going to waste my money .,val,je ne vais pas gaspiller mon argent .
5873,i 'm terrible at math .,val,je suis épouvantable en math .
5874,i 'm more than just a pretty face .,val,je suis davantage qu'un joli visage .
5875,i 'm sure my parents wo n't let me go by myself .,val,je suis certain que mes parents ne me laisseront pas partir seul .
5876,i 'm not ugly .,val,je ne suis pas laid .
5877,i 'm sick .,val,je suis malade .
5878,i 'm not perfect .,val,je ne suis pas parfaite .
5879,"i 'm sorry to say , but the service is n't very good .",val,"je suis désolé de le dire , mais le service n'est pas très bon ."
5880,i 'm getting back together with my ex-girlfriend .,val,je retourne avec mon ex petite copine .
5881,i 'm just not very busy .,val,je ne suis simplement pas très occupé .
5882,i 'm glad you 're still here .,val,je suis content que vous soyez toujours là .
5883,i 'm not sure i can trust you .,val,je ne suis pas sûre de pouvoir me fier à vous .
5884,i 'm pleased with his performance .,val,je suis satisfaite de sa performance .
5885,i 'm about ready .,val,je suis presque prêt .
5886,i 'm so sorry that i lied to you .,val,je suis si désolée de t'avoir menti .
5887,i 'm not hungry right now .,val,je n'ai pas faim maintenant .
5888,i 'm very happy to be here .,val,je suis très heureux d'être ici .
5889,i 'm a happy man .,val,je suis un homme heureux .
5890,"i 'm joking , of course .",val,"je plaisante , bien sûr ."
5891,i 'm not invited to parties .,val,je ne suis pas invitée à des fêtes .
5892,i 'm giving you what you want .,val,je vous donne ce que vous voulez .
5893,i 'm a little out of practice .,val,je manque un peu de pratique .
5894,i 'm not available right now .,val,je ne suis pas libre tout de suite .
5895,i 'm not sure i 'd want to live here .,val,je ne suis pas certain que je voudrais vivre ici .
5896,i 'm trying not to cry .,val,j'essaye de ne pas pleurer .
5897,i 'm very thirsty .,val,j'ai très soif .
5898,i 'm not going to get involved .,val,je ne vais pas m'impliquer .
5899,i 'm not your maid .,val,je ne suis pas ta bonne .
5900,i 'm not entirely sure .,val,je n'en suis pas entièrement sûr .
5901,i 'm not dreaming .,val,je ne suis pas en train de rêver .
5902,i 'm not panicking .,test,je ne me panique pas .
5903,i 'm being serious .,test,je suis sérieux .
5904,i 'm used to it .,test,j'y suis habitué .
5905,i 'm skinny .,test,je suis maigrichonne .
5906,i 'm just going across to the flower shop .,test,je traverse juste pour aller chez le fleuriste .
5907,i 'm going to shoot him dead .,test,je vais l'abattre .
5908,i 'm sorry for what i did .,test,je suis désolé pour ce que j'ai fait .
5909,i 'm perfectly all right .,test,je suis parfaitement bien .
5910,i 'm drinking a beer .,test,je suis en train de boire une bière .
5911,i 'm not bitter .,test,je ne suis pas amer .
5912,i 'm buying .,test,c'est moi qui paie .
5913,i 'm a little confused .,test,je suis un peu désorienté .
5914,"i 'm sorry , but i already have a boyfriend .",test,je suis désolée mais j'ai déjà un petit ami .
5915,i 'm sorry if i frightened you .,test,je suis désolée si je vous ai effrayés .
5916,i 'm done with all that .,test,j'en ai fini avec tout ça .
5917,i 'm glad you realize that .,test,je me réjouis que vous en preniez conscience .
5918,i 'm sure we can work this out .,test,je suis sûre que nous pouvons arranger cela .
5919,i 'm not sure i 'd want to live here .,test,je ne suis pas certaine que je voudrais vivre ici .
5920,i 'm going to do my best .,test,je vais faire de mon mieux .
5921,i 'm going on a trip .,test,je pars en voyage .
5922,i 'm beginning to see what you mean .,test,je commence à percevoir ce que vous voulez dire .
5923,i 'm having trouble with my roommate . he eats all my food .,test,j'ai un problème avec mon compagnon de chambre . il mange toute ma nourriture .
5924,i 'm worried about my weight .,test,mon poids me préoccupe .
5925,i 'm ruthless .,test,je suis impitoyable .
5926,i 'm much younger than you .,test,je suis bien plus jeune que vous .
5927,i 'm getting sleepy .,test,je commence à avoir sommeil .
5928,i 'm sorry to see tom go .,test,il me désole de voir tom partir .
5929,i 'm not an early riser .,test,je me lève tard le matin .
5930,i 'm not who you think i am .,test,je ne suis pas celui que tu penses .
5931,i 'm coming right home .,test,j'arrive juste chez nous .
5932,i 'm so happy to finally be back home .,test,je suis tellement heureux d'être enfin de retour à la maison .
5933,i 'm left-handed .,test,je suis gaucher .
5934,i 'm glad you brought this up .,test,je suis heureux que tu aies mentionné cela .
5935,i 'm not hurt .,test,je ne suis pas blessée .
5936,i 'm still married .,test,je suis toujours marié .
5937,"i 'm your boyfriend , are n't i ?",test,"je suis ton petit copain , n'est-ce pas ?"
5938,"i 'm sorry , i dialed the wrong number .",test,"je suis confus , j'ai composé un mauvais numéro ."
5939,i 'm not that stupid !,test,je ne suis pas stupide à ce point !
5940,i 'm living with my mom now .,test,je vis avec ma maman maintenant .
5941,i 'm thinking of going .,test,je songe à y aller .
5942,"i 'm happy , too .",test,je suis également heureux .
5943,i 'm ill .,test,je suis malade .
5944,i 'm sure tom was involved .,test,je suis sûr que tom était impliqué .
5945,i 'm sorry it had to be done this way .,test,je suis désolé qu'il ait fallu le faire de cette manière .
5946,i 'm going to new york next week .,test,j'irai à new york la semaine prochaine .
5947,i 'm really angry .,test,j'ai les glandes .
5948,i 'm sorry that you 've been badly injured .,test,je suis désolé que vous ayez été gravement blessé .
5949,i 'm not your husband anymore .,test,je ne suis plus ton mari .
5950,"i 'm not a doctor , but a teacher .",test,"je ne suis pas médecin , mais instituteur ."
5951,"i 'm not going , and that 's that .",test,"je n'y vais pas , un point c'est tout ."
5952,i 'm not scared of you anymore .,test,je ne te crains plus .
5953,i 'm sure my parents wo n't let me go by myself .,test,je suis certaine que mes parents ne me laisseront pas aller seule .
5954,i 'm a little behind schedule .,test,je suis un peu en retard sur mon planning .
5955,i 'm sorry i was rude to you .,test,je suis désolé d'avoir été si grossier .
5956,i 'm going to buy some bread .,test,je vais acheter du pain .
5957,i 'm very proud of my father .,test,je suis très fier de mon père .
5958,i 'm not in good shape .,test,je ne suis pas en forme .
5959,i 'm pretty sure tom could do that .,test,je suis certain que tom pourrait le faire .
5960,i 'm ready to throw in the towel .,test,je suis prêt à jeter l'éponge .
5961,i 'm sick of lying .,test,j'en ai vraiment marre de mentir .
5962,i 'm not crying .,test,je ne pleure pas .
5963,i 'm going to give tom a bath .,test,je vais donner un bain à tom .
5964,i 'm not so lucky .,test,je ne suis pas si veinard .
5965,"i 'm sorry , i could n't hear you .",test,"je suis désolé , je ne pouvais pas t'entendre ."
5966,i 'm dying to see you .,test,je désespère de te voir !
5967,i 'm very busy so do n't count on me .,test,"je suis très occupé , alors ne comptez pas sur moi ."
5968,i 'm not a native speaker .,test,je ne suis pas un locuteur natif .
5969,i 'm rather proud of it .,test,je suis plutôt fier de ça .
5970,i 'm sure you do n't want to do that .,test,je suis certain que tu ne veux pas faire ça .
5971,i 'm glad you 're ok again .,test,je suis contente que vous alliez à nouveau bien .
5972,i 'm crazy .,test,je suis fou .
5973,i 'm sorry i yelled at you .,test,je suis désolé de t'avoir crié après .
5974,i 'm sorry if i disturbed you .,test,je suis désolé si je t'ai dérangé .
5975,"i 'm sorry , i did n't mean to frighten you .",test,"pardon , je ne voulais pas vous faire peur ."
5976,i 'm sorry i yelled at you .,test,je suis désolée de vous avoir hurlé dessus .
5977,i 'm observant .,test,je suis observatrice .
5978,i 'm very concerned about her illness .,test,je m'inquiète beaucoup de sa maladie .
5979,"i 'm sorry , i did n't hear you .",test,"je suis désolé , je ne vous ai pas entendue ."
5980,i 'm pleased with their performance .,test,je suis satisfait de leur performance .
5981,i 'm surprised to see you .,test,je suis surprise de vous voir .
5982,i 'm learning czech .,test,j'apprends le tchèque .
5983,i 'm drunk .,test,je suis saoul .
5984,i 'm afraid this key does not fit .,test,j'ai bien peur que cette clé ne marche pas .
5985,i 'm sure tom will know how to do it .,test,je suis sûr que tom saura comment le faire .
5986,i 'm a farmer .,test,je suis un agriculteur .
5987,i 'm sorry about last night .,test,je suis désolé au sujet de la nuit dernière .
5988,i 'm the boss around here .,test,"c'est moi le patron , par ici ."
5989,i 'm not finished with you .,test,je n'en ai pas fini avec vous .
5990,i 'm sorry i hurt you .,test,je suis désolée de vous avoir blessée .
5991,i 'm tired of boston .,test,je suis fatiguée de boston .
5992,i 'm going to send tom some money .,test,je vais envoyer de l'argent à tom .
5993,i 'm sorry .,test,désolé .
5994,i 'm leaving .,test,je pars .
5995,i 'm pretty sure i did n't say that .,test,je suis plutôt sûr que je n'ai pas dit ça .
5996,i 'm glad to see you back .,test,je suis content de vous revoir .
5997,i 'm no longer tired .,test,je ne suis plus fatigué .
5998,i 'm afraid i ca n't save you this time .,test,"je crains de ne pouvoir vous sauver , cette fois ."
5999,"i 'm moving , so i need boxes for my things .",test,"je déménage , alors j'ai besoin de cartons pour mes affaires ."
6000,i 'm a management consultant .,test,je suis conseiller en gestion .
6001,i 'm wearing sunglasses .,test,je porte des lunettes de soleil .
6002,i 'm enjoying this warm weather .,test,je profite de ce temps chaud .
6003,i 'm done watering the flowers .,test,j'en ai terminé avec l'arrosage des fleurs .
6004,i 'm cured .,test,je suis guérie .
6005,i 'm all done .,test,j'ai tout fini .
6006,i 'm color-blind .,test,je suis daltonien .
6007,i 'm slow to adapt to new situations .,test,je suis lent à m'adapter à de nouvelles situations .
6008,i 'm a farmer .,test,je suis fermier .
6009,i 'm breaking up with my girlfriend tonight .,test,je romps ce soir avec ma petite amie .
6010,i 'm famished .,test,je suis affamé !
6011,i 'm sorry to interrupt you .,test,excusez-moi de vous interrompre .
6012,i 'm proud of my school .,test,je suis fier de mon école .
6013,i 'm about to go out .,test,je vais sortir .
6014,i 'm crazy .,test,je suis folle .
6015,i 'm totally confused .,test,je suis complètement embrouillée .
6016,i 'm fond of listening to classical music .,test,j'adore écouter de la musique classique .
6017,i 'm not able to speak so fast .,test,je ne suis pas capable de parler aussi vite .
6018,i 'm completely wrecked .,test,je suis complètement pété .
6019,i 'm strong enough .,test,je suis assez fort .
6020,i 'm a bit drunk .,test,je suis un peu ivre .
6021,"i 'm going to go buy a ticket , so please watch my bags for a minute .",test,"je vais aller acheter un ticket , alors surveille mes sacs une minute , s'il te plaît ."
6022,i 'm assuming you have a plan .,test,je suppose que tu disposes d'un plan .
6023,i 'm disappointed and angry .,test,je suis déçu et en colère .
6024,i 'm rested .,test,je suis reposée .
6025,i 'm going to prison .,test,je vais en prison .
6026,i 'm glad i was able to do this .,test,je suis content d'avoir pu le faire .
6027,"i 'm going to protect you , tom .",test,"je vais te protéger , tom ."
6028,i 'm thinking of visiting you one of these days .,test,je pense à te rendre visite un de ces quatre .
6029,i 'm fed up with homework .,test,j'en ai marre des devoirs !
6030,i 'm being honest with you .,test,je suis honnête avec vous .
6031,i 'm glad you 're early .,test,je suis contente que vous soyez en avance .
6032,i 'm getting married .,test,je vais me marier .
6033,i 'm sure .,test,je suis certain .
6034,i 'm going to save more money .,test,je vais épargner plus d'argent .
6035,i 'm not sure i want the job .,test,je ne suis pas certain de vouloir le poste .
6036,i 'm supposed to be the one helping you .,test,je suis supposé être celui qui vous aide .
6037,i 'm not privy to their decisions .,test,je ne suis pas au courant de leurs décisions .
6038,i 'm learning basque .,test,je suis en train d'apprendre le basque .
6039,i 'm not a criminal .,test,je ne suis pas une criminelle .
6040,"i 'm really disappointed in you , tom .",test,"tu me déçois vraiment , tom ."
6041,i 'm from turkey .,test,je viens de turquie .
6042,i 'm glad i did it .,test,je me réjouis de l'avoir fait .
6043,i 'm sure you never told me not to do this .,test,je suis sûr que tu ne m'as jamais dit de ne pas faire ça .
6044,i 'm not married to tom anymore .,test,je ne suis plus mariée avec tom .
6045,i 'm wondering what 'll happen if i push this button .,test,je me demande ce qu'il se passera si j'appuie sur ce bouton .
6046,i 'm starting to dislike her .,test,je commence à la trouver antipathique .
6047,"i 'm sorry , it wo n't happen again .",test,"je suis désolée , ça ne se reproduira pas ."
6048,i 'm only doing my duty .,test,je ne fais que mon devoir .
6049,i 'm not old .,test,je ne suis pas vieux .
6050,i 'm still working on it .,test,j'y travaille encore .
6051,i 'm getting old .,test,je me fais vieille .
6052,i 'm smarter than you .,test,je suis plus élégante que vous .
6053,i 'm not sleepy .,test,je n'ai pas sommeil .
6054,i 'm getting used to eating alone .,test,je m'habitue à manger seul .
6055,"i 'm glad that they fixed the heating system , but now it 's too hot .",test,"je suis content qu'ils aient réparé le chauffage , mais maintenant il fait trop chaud ."
6056,i 'm going to go to my room .,test,je vais aller dans ma chambre .
6057,i 'm really cold .,test,j'ai vraiment froid .
6058,i 'm not certain .,test,je n'en suis pas certaine .
6059,i 'm younger than i look .,test,je suis plus jeune que je n'en ai l'air .
6060,i 'm never gon na let her live that down .,test,je ne vais jamais la laisser enterrer ça .
6061,i 'm very happy with my new car .,test,je suis très content de ma nouvelle voiture .
6062,i 'm not fat .,test,je ne suis pas gros .
6063,i 'm only doing what needs to be done .,test,je ne fais que ce qu'il est nécessaire de faire .
6064,i 'm not going to help you .,test,je ne vais pas vous aider .
6065,i 'm very sorry i came home so late .,test,je suis vraiment désolé d'être rentré à la maison aussi tard .
6066,"i 'm not an expert , so my answer to your question is just an educated guess .",test,"je ne suis pas un expert , alors ma réponse à votre question est juste une supposition éclairée ."
6067,i 'm untalented .,test,je suis dépourvue de talent .
6068,i 'm glad you 're all right .,test,je me réjouis que vous vous portiez bien .
6069,"i 'm very tired , but i ca n't get to sleep .",test,"je suis très fatigué , mais je n'arrive pas à dormir ."
6070,i 'm kind of busy tonight .,test,"je suis plutôt occupée , ce soir ."
6071,i 'm not frightened of anything .,test,je n'ai pas peur de quoi que ce soit .
6072,i 'm thirty years older than you .,test,j'ai trente ans de plus que toi .
6073,i 'm thirsty . can i have a glass of water ?,test,j'ai soif . puis-je avoir un verre d'eau ?
6074,i 'm an artist .,test,je suis une artiste .
6075,i 'm not in a position to discuss that .,test,je ne suis pas en situation de discuter de ça .
6076,i 'm impatient .,test,je suis impatiente .
6077,i 'm considered a traitor to this country .,test,je suis considéré comme traître à ce pays .
6078,i 'm not sure what 's wrong . we should have heard from him by now .,test,"je ne sais pas ce qui cloche , mais on aurait déjà dû avoir de ses nouvelles ."
6079,i 'm very slow at making up my mind .,test,je suis très lent pour me décider .
6080,i 'm involved .,test,je suis impliquée .
6081,i 'm a new student .,test,je suis une nouvelle élève .
6082,"i 'm busy , too .",test,je suis également occupée .
6083,i 'm sorry that i ca n't be who you want me to be .,test,je suis désolé de ne pouvoir être celui que tu voudrais que je sois .
6084,i 'm not so convinced .,test,je n'en suis pas si convaincu .
6085,i 'm old enough .,test,je suis suffisamment vieux .
6086,i 'm running out of closet space .,test,je manque d'espace dans mon placard .
6087,i 'm being serious .,test,je suis sérieuse .
